,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
14066,28008,"Robins, Elizabeth",Under the Southern Cross,http://www.gutenberg.org/ebooks/28008.txt.utf-8,PS,Ocean travel -- Fiction,Young women -- Fiction,Courtship -- Fiction,
14100,718,"Wells, H. G. (Herbert George)",Tono-Bungay,http://www.gutenberg.org/files/718/718-0.txt,PR,England -- Fiction,Patent medicines -- Marketing -- Fiction,Satire,Pharmaceutical industry -- Fiction
14368,14060,"Wells, H. G. (Herbert George)",Mr. Britling Sees It Through,http://www.gutenberg.org/ebooks/14060.txt.utf-8,PR,War stories,"World War, 1914-1918 -- Fiction",,
14761,11163,"Macaulay, Rose",Potterism: A Tragi-Farcical Tract,http://www.gutenberg.org/ebooks/11163.txt.utf-8,England -- Social life and customs -- 20th century -- Fiction,PR,Journalists -- Fiction,Families -- Fiction,
14777,41603,"Richards, Laura Elizabeth Howe",Toto's Merry Winter,http://www.gutenberg.org/ebooks/41603.txt.utf-8,Fantasy literature,Children -- Conduct of life -- Juvenile fiction,PZ,Grandmothers -- Juvenile fiction,Conduct of life -- Juvenile fiction
14920,40762,"Benson, E. F. (Edward Frederic)",Dodo's Daughter: A Sequel to Dodo,http://www.gutenberg.org/ebooks/40762.txt.utf-8,PR,England -- Social life and customs -- 20th century -- Fiction,Upper class -- England -- Fiction,Mothers and daughters -- Fiction,Love stories
15423,45719,"Benson, E. F. (Edward Frederic)",Arundel,http://www.gutenberg.org/ebooks/45719.txt.utf-8,England -- Social life and customs -- 20th century -- Fiction,PR,Triangles (Interpersonal relations) -- Fiction,Families -- Fiction,British -- India -- Fiction
15440,13146,"Miller, Alice Duer",The Beauty and the Bolshevist,http://www.gutenberg.org/ebooks/13146.txt.utf-8,PS,Children of the rich -- Fiction,Socialists -- Fiction,Newport (R.I.) -- Fiction,Love stories
15643,45800,"Benson, E. F. (Edward Frederic)",The House of Defence v. 1,http://www.gutenberg.org/ebooks/45800.txt.utf-8,PR,Christian Science -- Fiction,England -- Social life and customs -- Fiction,Spiritual healing -- Fiction,
15654,19614,"Walpole, Hugh",The Dark Forest,http://www.gutenberg.org/ebooks/19614.txt.utf-8,PR,War stories,"World War, 1914-1918 -- Fiction",Historical fiction,
15867,13418,"Chekhov, Anton Pavlovich",The Chorus Girl and Other Stories,http://www.gutenberg.org/files/13418/13418-0.txt,"Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English",Russia -- Social life and customs -- Fiction,PG,,
15904,52729,"Cannan, Gilbert","Round the Corner Being the Life and Death of Francis Christopher Folyat, Bachelor of Divinity, and Father of a Large Family",http://www.gutenberg.org/ebooks/52729.txt.utf-8,PR,Clergy -- Fiction,English fiction -- 20th century,England -- Social life and customs -- Fiction,Families -- Fiction
16156,48505,"Benson, E. F. (Edward Frederic)",David Blaize and the Blue Door,http://www.gutenberg.org/files/48505/48505-0.txt,PZ,Fantasy fiction,Imaginary places -- Juvenile fiction,Adventure stories,Boys -- Juvenile fiction
16298,40569,"Morrison, Arthur",Tales of Mean Streets,http://www.gutenberg.org/ebooks/40569.txt.utf-8,PR,"East End (London, England) -- Fiction",London (England) -- Social life and customs -- Fiction,,
16396,5265,"Chesterton, G. K. (Gilbert Keith)",The Ball and the Cross,http://www.gutenberg.org/files/5265/5265-0.txt,PR,Allegories,Humorous stories,Catholics -- Fiction,Male friendship -- Fiction
16688,7443,"Anderson, Sherwood",Windy McPherson's Son,http://www.gutenberg.org/files/7443/7443-0.txt,PS,Fathers and sons -- Fiction,Bildungsromans,Young men -- Fiction,
17300,15432,"De la Mare, Walter","Henry Brocken His Travels and Adventures in the Rich, Strange, Scarce-Imaginable Regions of Romance",http://www.gutenberg.org/ebooks/15432.txt.utf-8,Characters and characteristics in literature -- Fiction,Fantasy literature,PR,"Voyages, Imaginary -- Fiction",Books and reading -- Fiction
17350,26420,"Robins, Elizabeth",The Convert,http://www.gutenberg.org/ebooks/26420.txt.utf-8,Women -- Fiction,Suffragists -- Fiction,Feminist fiction,PS,
17578,50269,"Colton, Arthur",Port Argent: A Novel,http://www.gutenberg.org/files/50269/50269-0.txt,PS,City and town life -- Fiction,United States -- Fiction,,
17634,2081,"Hawthorne, Nathaniel",The Blithedale Romance,http://www.gutenberg.org/ebooks/2081.txt.utf-8,PS,Collective farms -- Fiction,Communal living -- Fiction,Autobiographical fiction,Psychological fiction
18539,23256,"Catherwood, Mary Hartwell","The King Of Beaver, and Beaver Lights From ""Mackinac And Lake Stories"", 1899",http://www.gutenberg.org/files/23256/23256-0.txt,PS,Mackinac Island (Mich. : Island) -- Fiction,Michigan -- Fiction,United States -- Social life and customs -- Fiction,
