,Book_ID,Author,Title,URL,LoC_class,Subject,Subject2,Subject3,Subject4
4939,42287,"Chase, Mary Ellen",The Girl from the Big Horn Country,http://www.gutenberg.org/files/42287/42287-0.txt,Girls -- Juvenile fiction,PZ,Vermont -- Juvenile fiction,Boarding schools -- Juvenile fiction,
5135,6352,"Holmes, Mary Jane","Dora Deane; Or, The East India Uncle",http://www.gutenberg.org/ebooks/6352.txt.utf-8,Uncles -- Fiction,Conduct of life -- Fiction,Orphans -- Fiction,Domestic fiction,PS
5612,2497,"Reade, Charles",Put Yourself in His Place,http://www.gutenberg.org/files/2497/2497-0.txt,PR,English fiction -- 19th century,Labor unions -- Fiction,,
6169,41303,"Parker, Gilbert","A Ladder of Swords: A Tale of Love, Laughter and Tears",http://www.gutenberg.org/files/41303/41303-0.txt,Jersey (Channel Islands) -- Fiction,"Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction",Huguenots -- Fiction,PS,
6259,4287,"Locke, William John",The Red Planet,http://www.gutenberg.org/ebooks/4287.txt.utf-8,PR,People with disabilities -- Fiction,Disabled veterans -- England -- Fiction,"World War, 1914-1918 -- England -- Fiction",
6313,2994,"Hichens, Robert",A Spirit in Prison,http://www.gutenberg.org/files/2994/2994-0.txt,PR,Italy -- Fiction,Illegitimate children -- Fiction,,
6509,31522,"Stowe, Harriet Beecher",The Pearl of Orr's Island: A Story of the Coast of Maine,http://www.gutenberg.org/ebooks/31522.txt.utf-8,PS,Maine -- Fiction,Bildungsromans,Girls -- Fiction,Islands -- Fiction
6817,14284,"McCutcheon, George Barr",Truxton King: A Story of Graustark,http://www.gutenberg.org/ebooks/14284.txt.utf-8,PS,Courts and courtiers -- Fiction,Americans -- Europe -- Fiction,Adventure stories,Graustark (Imaginary place) -- Fiction
7369,1018,"Kingsley, Charles",The Water-Babies,http://www.gutenberg.org/ebooks/1018.txt.utf-8,PZ,Chimney sweeps -- Juvenile fiction,Fairy tales -- England,,
7520,9179,"Allen, James Lane",The Bride of the Mistletoe,http://www.gutenberg.org/files/9179/9179-0.txt,Married people -- Fiction,PS,Psychological fiction,,
7567,45178,"Broughton, Rhoda",Red as a Rose is She: A Novel,http://www.gutenberg.org/ebooks/45178.txt.utf-8,PR,Wales -- Fiction,Love stories,,
8056,2636,"Sabatini, Rafael",The Historical Nights' Entertainment: First Series,http://www.gutenberg.org/files/2636/2636-0.txt,PR,"Historical fiction, English",Europe -- Social life and customs -- Fiction,,
9076,6113,"Roe, Edward Payson",A Day of Fate,http://www.gutenberg.org/ebooks/6113.txt.utf-8,PS,Fiction,Love stories,,
9737,14708,"Craik, Dinah Maria Mulock",The Laurel Bush: An Old-Fashioned Love Story,http://www.gutenberg.org/ebooks/14708.txt.utf-8,PR,Love stories,Fiction,,
9754,3465,Ouida,Under Two Flags,http://www.gutenberg.org/files/3465/3465-0.txt,PR,Algeria -- Fiction,France. Armée. Légion étrangère -- Fiction,Love stories,British -- Algeria -- Fiction
10549,9748,"Keyes, Frances Parkinson",The Old Gray Homestead,http://www.gutenberg.org/ebooks/9748.txt.utf-8,PS,New England -- Fiction,Farm life -- Fiction,Love stories,
11221,42428,"Sedgwick, Anne Douglas",Adrienne Toner: A Novel,http://www.gutenberg.org/ebooks/42428.txt.utf-8,England -- Social life and customs -- 20th century -- Fiction,PR,Triangles (Interpersonal relations) -- Fiction,Americans -- England -- Fiction,Man-woman relationships -- Fiction
14674,1602,"Ferber, Edna",Dawn O'Hara: The Girl Who Laughed,http://www.gutenberg.org/files/1602/1602-0.txt,PS,Humorous stories,Women authors -- Fiction,Reporters and reporting -- Fiction,
16732,2165,"Eliot, George",The Lifted Veil,http://www.gutenberg.org/ebooks/2165.txt.utf-8,PR,Paranormal fiction,Psychological fiction,,
18108,30486,"Brontë, Charlotte",Shirley,http://www.gutenberg.org/files/30486/30486-0.txt,Women -- England -- Fiction,PR,"Napoleonic Wars, 1800-1815 -- Fiction",Historical fiction,Textile industry -- Fiction
19025,15385,"Allen, James Lane",A Cathedral Singer,http://www.gutenberg.org/ebooks/15385.txt.utf-8,PS,Mothers and sons -- Fiction,Singers -- Fiction,"Cathedral of St. John the Divine (New York, N.Y.) -- Fiction",New York (N.Y.) -- Fiction
19400,39858,"Du Maurier, George",Trilby,http://www.gutenberg.org/files/39858/39858-0.txt,PR,Psychological fiction,Musical fiction,Paris (France) -- Fiction,Artists' models -- Fiction
19745,42284,"Deeping, Warwick",Love Among the Ruins,http://www.gutenberg.org/files/42284/42284-0.txt,PR,Man-woman relationships -- Fiction,"Great Britain -- History -- Medieval period, 1066-1485 -- Fiction",,
22365,144,"Woolf, Virginia",The Voyage Out,http://www.gutenberg.org/files/144/144-0.txt,PR,Ocean travel -- Fiction,Women travelers -- Fiction,Bildungsromans,British -- South America -- Fiction
27456,8147,"Kipling, Rudyard",The Man Who Would Be King,http://www.gutenberg.org/files/8147/8147-0.txt,PR,Political fiction,Kings and rulers -- Fiction,British -- Afghanistan -- Fiction,Afghanistan -- Fiction
27700,14532,"Ford, Paul Leicester",The Honorable Peter Stirling and What People Thought of Him,http://www.gutenberg.org/ebooks/14532.txt.utf-8,PS,Labor movement -- Fiction,Tenement houses -- Fiction,Political fiction,New York (N.Y.) -- Fiction
28250,17391,"MacGrath, Harold",The Princess Elopes,http://www.gutenberg.org/ebooks/17391.txt.utf-8,PS,Man-woman relationships -- Fiction,Europe -- Fiction,,
28982,32224,"Hughes, Thomas",Tom Brown's School Days,http://www.gutenberg.org/files/32224/32224-0.txt,PR,Schools -- Fiction,Rugby School -- Fiction,Bildungsromans,England -- Fiction
30888,6719,"Roe, Edward Payson",The Earth Trembled,http://www.gutenberg.org/ebooks/6719.txt.utf-8,PS,South Carolina -- History -- 1865- -- Fiction,"Charleston Earthquake, S.C., 1886 -- Fiction",,
31297,20399,"Maclaren, Ian",Kate Carnegie and Those Ministers,http://www.gutenberg.org/ebooks/20399.txt.utf-8,PR,Scotland -- Social life and customs -- 19th century -- Fiction,Domestic fiction,Country life -- Scotland -- Fiction,
31553,25885,"Williams, Ben Ames",All the Brothers Were Valiant,http://www.gutenberg.org/ebooks/25885.txt.utf-8,PS,Brothers -- Fiction,Oceania -- Fiction,Sea stories,
31648,27400,"Du Maurier, George",The Martian: A Novel,http://www.gutenberg.org/ebooks/27400.txt.utf-8,Human-alien encounters -- Fiction,PR,Paris (France) -- Fiction,Martians -- Fiction,Authors -- Fiction
31854,350,"Ferber, Edna",Fanny Herself,http://www.gutenberg.org/files/350/350-0.txt,Autobiographical fiction,PS,Bildungsromans,Wisconsin -- Fiction,Jewish fiction
33943,36881,"Williams, Ben Ames",The Sea Bride,http://www.gutenberg.org/ebooks/36881.txt.utf-8,Married people -- Fiction,Seafaring life -- Fiction,Whaling -- Fiction,Man-woman relationships -- Fiction,PS
34437,48690,"Besant, Walter",The Revolt of Man,http://www.gutenberg.org/ebooks/48690.txt.utf-8,PR,Utopias -- Fiction,"Women -- Legal status, laws, etc. -- Fiction",,
35043,28489,"Locke, William John",The Belovéd Vagabond,http://www.gutenberg.org/ebooks/28489.txt.utf-8,PR,Homeless persons -- Fiction,London (England) -- Fiction,,
35253,23410,"Hichens, Robert",The Spinster 1905,http://www.gutenberg.org/files/23410/23410-0.txt,Married people -- Fiction,PR,Single women -- Fiction,Short stories,
37174,5670,"Woolf, Virginia",Jacob's Room,http://www.gutenberg.org/ebooks/5670.txt.utf-8,PR,Psychological fiction,Experimental fiction,England -- Fiction,"World War, 1914-1918 -- England -- Fiction"
37287,49282,"Farnol, Jeffery",The Chronicles of the Imp: A Romance,http://www.gutenberg.org/files/49282/49282-0.txt,England -- Social life and customs -- 20th century -- Fiction,PR,Humorous stories,Courtship -- Fiction,Mate selection -- Fiction
37331,27522,"Chase, Mary Ellen",Virginia of Elk Creek Valley,http://www.gutenberg.org/ebooks/27522.txt.utf-8,PS,Vacations -- Fiction,Ranch life -- Fiction,Wyoming -- Fiction,
37426,33777,"Hughes, Thomas",Tom Brown at Rugby,http://www.gutenberg.org/ebooks/33777.txt.utf-8,PR,Schools -- Fiction,PZ,Rugby School -- Fiction,Bildungsromans
37448,3241,"Connor, Ralph",Corporal Cameron of the North West Mounted Police: A Tale of the Macleod Trail,http://www.gutenberg.org/files/3241/3241-0.txt,PS,Canada -- Fiction,North West Mounted Police (Canada) -- Fiction,,
